severity,metric_contract_id,metric_name,audit_status_code,var_code,var_role,cf_name,cc_id,cc_name,cc_rule,current_agg,recommended_agg,binding_role,formula_text,note
fail,019d7664-9ded-7638-9faf-132931720fa3,mc__account_reconciliation_completion,warn,I1,input,number_of_accounts_reconciled,019d7664-5001-76df-92ce-388cb8a39f0e,cc__bc_gl_operations,count_distinct,SUM,COUNT_DISTINCT,primary,O1 = (SUM(I1) / SUM(I2)) * C1,D335-R4 correction: SUM on rule 'count_distinct' is semantically wrong
fail,019d7664-9ded-7638-9faf-132931720fa3,mc__account_reconciliation_completion,warn,I2,input,total_balance_sheet_accounts,019d7663-ef6f-7845-9607-f6d8bb34e5d5,cc__general_ledger_account,count_distinct,SUM,COUNT_DISTINCT,primary,O1 = (SUM(I1) / SUM(I2)) * C1,D335-R4 correction: SUM on rule 'count_distinct' is semantically wrong
fail,019d7663-f309-72c8-a374-f5856db17f8e,mc__accounts_payable_turnover_ratio,pass,I2,input,average_accounts_payable,019d762a-17b6-71d1-8cdf-7b899eb28247,cc__actual_ledger,latest,SUM,MAX,primary,O1 = SUM(I1) / SUM(I2),D335-R4 correction: SUM on rule 'latest' is semantically wrong
fail,019d7701-cb7f-7572-8fd5-b57f410e6f13,mc__accounts_receivable_turnover_ratio,pass,I2,input,average_accounts_receivable_balance,019d762a-13e9-789e-86ad-02afdad6eb24,cc__receivable_hdr,count_distinct,SUM,COUNT_DISTINCT,primary,O1 = SUM(I1) / SUM(I2),D335-R4 correction: SUM on rule 'count_distinct' is semantically wrong
fail,019d7664-9e4b-7086-876d-bf7795a86ee4,mc__accounts_standard_with_the_business_units_reporting_to_your_site,warn,I1,input,number_of_standard_accounts,019d7664-5001-76df-92ce-388cb8a39f0e,cc__bc_gl_operations,count_distinct,SUM,COUNT_DISTINCT,primary,O1 = (SUM(I1) / SUM(I2)) * C1,D335-R4 correction: SUM on rule 'count_distinct' is semantically wrong
fail,019d7664-9e4b-7086-876d-bf7795a86ee4,mc__accounts_standard_with_the_business_units_reporting_to_your_site,warn,I2,input,total_accounts_in_chart_of_accounts,019d7663-f067-7881-bcf8-323a99bd7439,cc__chart_of_accounts,latest,SUM,MAX,primary,O1 = (SUM(I1) / SUM(I2)) * C1,D335-R4 correction: SUM on rule 'latest' is semantically wrong
fail,019d7664-9e98-75d1-9a06-d8e80d548878,mc__accruals_generated_using_a_fully_automated_method,warn,I1,input,number_of_automated_accruals,019d7664-5001-76df-92ce-388cb8a39f0e,cc__bc_gl_operations,count_distinct,SUM,COUNT_DISTINCT,primary,O1 = (SUM(I1) / SUM(I2)) * C1,D335-R4 correction: SUM on rule 'count_distinct' is semantically wrong
fail,019d7664-9ee6-7cf4-a256-d3151671621c,mc__accruals_generated_using_a_fully_manual_method,warn,I1,input,number_of_manual_accruals,019d7664-5001-76df-92ce-388cb8a39f0e,cc__bc_gl_operations,count_distinct,SUM,COUNT_DISTINCT,primary,O1 = (SUM(I1) / SUM(I2)) * C1,D335-R4 correction: SUM on rule 'count_distinct' is semantically wrong
fail,019d7664-9f2a-7e5a-a8d8-716b4036a084,mc__accruals_generated_using_both_automation_and_manual_methods,warn,I1,input,number_of_hybrid_accruals,019d7664-5001-76df-92ce-388cb8a39f0e,cc__bc_gl_operations,count_distinct,SUM,COUNT_DISTINCT,primary,O1 = (SUM(I1) / SUM(I2)) * C1,D335-R4 correction: SUM on rule 'count_distinct' is semantically wrong
fail,019d7838-9dc1-71a7-85af-1fc0d3bbede6,mc__active_customer_rate,warn,I1,input,number_of_active_customer_accounts,019d762a-13e9-789e-86ad-02afdad6eb24,cc__receivable_hdr,count_where_not_null,SUM,COUNT,primary,O1 = (SUM(I1) / SUM(I2)) * C1,D335-R4 correction: SUM on rule 'count_where_not_null' is semantically wrong
fail,019d7838-9dfd-76a3-a470-276aeda3f54c,mc__adjustment_resolution_time,pass,I1,input,adjustment_resolution_date,019d7663-f10b-7c5b-9ff9-b00e701a2452,cc__journal_entry_hdr,latest,SUM,MAX,primary,O1 = SUM(I1) - SUM(I2),D335-R4 correction: SUM on rule 'latest' is semantically wrong
fail,019d7838-9dfd-76a3-a470-276aeda3f54c,mc__adjustment_resolution_time,pass,I2,input,adjustment_identification_date,019d7663-f10b-7c5b-9ff9-b00e701a2452,cc__journal_entry_hdr,latest,SUM,MAX,primary,O1 = SUM(I1) - SUM(I2),D335-R4 correction: SUM on rule 'latest' is semantically wrong
